Content Manifest for Depot 2722711 

Manifest ID / date     : 3533270317117975849 / 08/05/2025 22:25:57 
Total number of files  : 1395 
Total number of chunks : 3575 
Total bytes on disk    : 2538265679 
Total bytes compressed : 1847648256 


          Size Chunks File SHA                                 Flags Name
             0      0 0000000000000000000000000000000000000000    40 Config
             0      0 0000000000000000000000000000000000000000    40 Config\Images
         24451      1 ed3dab39ba281e2c1d6870e468e41231970b609e     0 Config\Images\Logo150x150.png
          3482      1 9a3982024bf7c0304125320e0339d15eec01d808     0 Config\Images\Logo44x44.png
         99438      1 f6b0981278a25e2ef617293c92ea32b55a9a7592     0 Config\Images\Logo480x480.png
         13149      1 6c01d34f4bcec129ba42ed5deb5caee63ea3b02a     0 Config\Images\LogoStore100x100.png
       2794116      3 63ed066f1134cd80285a8016a11e7cd5ab68d67f     0 Config\Images\SplashScreen1920x1080.png
          3569      1 bf55c4f6166d0fa2eaea71235837edc3b20b180e     0 Config\Images\TaskBarIcon.png
     239231840    229 306617dc928b96fac726f6e4fbb1db1f373e272c     0 CreationKit.exe
          2451      1 79860ca86ed09defbafed2c9d1ff1f3257eef517     0 CreationKit.ini
             0      0 0000000000000000000000000000000000000000    40 Data
     109992652    105 3371b9b67cec2dcc50c260772014c08efee4c580     0 Data\CreationKit - Shaders.ba2
             0      0 0000000000000000000000000000000000000000    40 Data\DataViews
             0      0 0000000000000000000000000000000000000000    40 Data\DataViews\ObjectWindow
             0      0 0000000000000000000000000000000000000000    40 Data\DataViews\ObjectWindow\_common
           481      1 0cd6fcef0739c802b6853d6433c9d480b896509f     0 Data\DataViews\ObjectWindow\_common\Loc-Dungeons.filter
           481      1 583e1eea48d34a9d2004d9d17f1d31d20eb80de8     0 Data\DataViews\ObjectWindow\_common\Loc-OEWorlds.filter
          1032      1 6e8e3c9c0b6c50e030ccc273486be58362137751     0 Data\DataViews\ObjectWindow\_common\Planets-Life.filter
             0      0 0000000000000000000000000000000000000000    40 Data\EditorFiles
             0      0 0000000000000000000000000000000000000000    40 Data\EditorFiles\Bundles
         26725      1 4af350201d66498c1140e00b4e4e916d1d883656     0 Data\EditorFiles\Bundles\Age & Lifetime.pofx
         22159      1 28208ee536971cb4ffbcdf2504cacbd22b1ffdd4     0 Data\EditorFiles\Bundles\Alpha Curve with EmitterCycle.pofx
